n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
20,0.1,4,8,-1,0,HEFT,33621.36215784,3227746.6352337776,1.2386056994526167e-05,0.9999977705122263,0.06228662857433559
20,0.1,4,8,-1,0,GA,33622.574025674,3227864.4399153646,1.2575381222308755e-05,0.9999977364339416,0.1390815868260903
20,0.1,4,8,-1,1,HEFT,33622.930360571,3227891.9809481995,1.1713996561148735e-05,0.9999978914828416,0.10345866520923053
20,0.1,4,8,-1,1,GA,33624.238354982,3228015.48217888,1.1447041422232158e-05,0.9999979395346669,0.1353313875968868
20,0.1,4,8,-1,2,HEFT,33624.606144539,3228056.805942178,1.222429798884453e-05,0.9999977996287828,0.039988084177373685
20,0.1,4,8,-1,2,GA,33625.917654942,3228183.068138942,1.2270447611121604e-05,0.9999977913218691,0.12329167717499417
20,0.5,0.8,8,-1,0,HEFT,33626.40581486,3228190.077616643,7.121368227793331e-06,0.9999987181545409,0.10108044256490897
20,0.5,0.8,8,-1,0,GA,33628.036570347,3228353.5063105472,8.009761916683702e-06,0.9999985582438946,0.09198122344753014
20,0.5,0.8,8,-1,2,HEFT,33628.523901321,3228399.162526441,7.864082638843684e-06,0.9999985844661269,0.08446531232718058
20,0.5,0.8,8,-1,2,GA,33630.076158057,3228546.5130517534,7.648821483356491e-06,0.9999986232130802,0.12097147111085217
20,0.5,1,8,-1,0,HEFT,33630.534634285,3228600.1008108016,8.885777705654618e-06,0.9999984005612916,0.09962840328428887
20,0.5,1,8,-1,0,GA,33632.070206211,3228755.3154872023,9.893500122295035e-06,0.9999982191715634,0.16025677662274246
20,0.5,1,8,-1,2,HEFT,33632.533586573,3228787.887719565,8.3544455500588e-06,0.9999984962009315,0.12865856726180905
20,0.5,1,8,-1,2,GA,33634.118163282,3228936.78871367,7.938635477775178e-06,0.999998571046635,0.11242828411615276
20,0.5,2,8,-1,0,HEFT,33634.538166331,3228993.6092862515,1.0070454583304432e-05,0.9999981873198172,0.08508001807628095
20,0.5,2,8,-1,0,GA,33635.873483496,3229127.2270289706,1.0771655472207286e-05,0.9999980611038942,0.11052841983365674
20,0.5,2,8,-1,1,HEFT,33636.211734219,3229157.534008261,1.0491928066767288e-05,0.999998111454731,0.047476508037720584
20,0.5,2,8,-1,1,GA,33637.623788575,3229287.134040579,9.722265811231207e-06,0.999998249993685,0.1344294871028395
20,0.5,2,8,-1,2,HEFT,33637.974489289,3229325.2554961992,1.0297742177701567e-05,0.9999981464081256,0.07542780471735569
